id;timestamp;smallGrantOrRelevant;checked;publicarEnBoletin;publicarEnDbPublica;estatus;daysLeft;nombre;tipo;granArea1;granArea2;area3;area4;area5;area6;area7;link;descripcion;nota;restriccionesParaAplicarElegibilidad;basedOn;entidadOtorgante;scopeGeografico;scopeEconoPolitico;scopeTematico;destinatarios1;destinatarios2;destinatarios3;destinatarios4;duracionDeLosProyectosPeriodoDeFinanciacion;monedaOriginal;montoEnMonedaOriginal;montoMinimoAproxEnUSD;montoMaximoAproxEnUSD;montoTipicoPromedioOtorgadoUSD;periodicidad;dead1;dead2;dead3;dead4;fechaProximoDeadline;fechaDecisionPublicacionDeResultados;aplicarMasDeUnaVez;aim;n;source;keywordsQueried;ofibusubID;mergedDocIDBoletin16Diciembre2023;mergedDocURLBoletin16Diciembre2023;linkToMergedDocBoletin16Diciembre2023;documentMergeStatusBoletin16Diciembre2023;mergedDocIDBoletinMarzo2024;mergedDocURLBoletinMarzo2024;linkToMergedDocBoletinMarzo2024;documentMergeStatusBoletinMarzo2024;Merged Doc ID - BOLETIN MARZO 2024;Merged Doc URL - BOLETIN MARZO 2024;Link to merged Doc - BOLETIN MARZO 2024;Document Merge Status - BOLETIN MARZO 2024
1;10/2/2024;TRUE;TRUE;publicar;;Vencido;0;AGRICULTURAL AND BIOLOGICAL SCIENCES;titulo;Agricultural and Biological Sciences;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;;;OABS1939198;;;;;1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k;https://docs.google.com/document/d/1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k/edit?usp=drivesdk;BolOABSv5_SmallGrantsbyAreaEDITAR;"Data merged and appended successfully; Manually run by marianarecavarren@gmail.com; Timestamp: Apr 5 2024 7:03 PM";;;;
2;26/4/2024;TRUE;TRUE;;publicar;>4 meses;454;New England Biolabs Foundation — Grants for Grassroots Conservation 2022;Programs and projects;Agricultural and Biological Sciences;Sustainable Development;Conservation;;;;;https://www.nebf.org/step1submitanloi;"apoyar la conservación de la diversidad biológica; servicios de ecosistema; seguridad alimentaria comunitaria; y medio marino.";;;;;;;;;;;;;usd;;3000;10000;;;14-ago-22;;;;14-ago-25;;;;FALSE;;;;;;;;;;;;;;;
3;5/4/2024;TRUE;TRUE;;publicar;>4 meses;486;Organization for Women in Science for the Developing World — OWSD-Elsevier Foundation Awards;Prizes and Awards;Agricultural and Biological Sciences;Sustainable Development;;;;;;https://owsd.net/call-applications-2022-owsd-elsevier-foundation-awards;Los solicitantes deben demostrar cómo su investigación contribuye al avance del conocimiento en el área de la seguridad alimentaria, la productividad agrícola y/o la producción sostenible de alimentos y al logro del ODS2 Hambre Cero.;;;;;;;;;;;;;USD;5000;;;;;15-sep-22;;;;15-sep-25;;;;TRUE;;;;;;;;;;;;;;;
4;2/8/2022;TRUE;TRUE;;publicar;>4 meses;502;Association of Reptile and Amphibian Veterinarians — Research and Conservation Grant 2023;Programs and projects;Agricultural and Biological Sciences;Conservation;;;;;;https://arav.org/professionals/grants/;La Asociación de Veterinarios de Reptiles y Anfibios financia investigaciones de orientación clínica y/o de conservación de reptiles y anfibios.;;;;;;;;;;;;;US;;2000;3000;;;1-oct-22;;;;1-oct-25;;;;FALSE;;;;;;;;;;;;;;;
5;31/7/2022;TRUE;TRUE;;publicar;>4 meses;516;Association of Field Ornithologists — Sponsored Latin American Memberships;Prizes and Awards;Agricultural and Biological Sciences;Environmental sciences;;;;;;https://afonet.org/grants-awards/sponsored-membership/;premios de membresía por un año a ornitólogos latinoamericanos calificados.;;;;;;;;;;;;;;;;;;;15-oct;;;;15-oct-25;;;;FALSE;;;;;;;;;;;;;;;
6;2/8/2022;TRUE;TRUE;;publicar;>4 meses;547;American Philosophical Society — Lewis and Clark Fund for Exploration and Field Research;Fellowships scholarships or trainings;Agricultural and Biological Sciences;Environmental sciences;;;;;;https://www.amphilsoc.org/grants/lewis-and-clark-fund-exploration-and-field-research;estudiantes de doctorado para recopilar muestras y datos en disciplinas que dependen en gran medida de estudios de campo, por ejemplo, biología, ecología, geografía y otras.;;;;;;;;;;;;;USD;5000;;;;;15-nov-22;;;;15-nov-25;;;;FALSE;;;;;;;;;;;;;;;
7;3/5/2024;TRUE;TRUE;;publicar;>4 meses;319;Neotropical Grassland Conservancy — Conservation Research and Education in Latin America: Equipment and Student Grants;Fellowships scholarships or trainings;Agricultural and Biological Sciences;Conservation;;;;;;http://conservegrassland.org/our-programs/;Neotropical Grassland Conservancy (NGC) proporciona subvenciones y equipos a estudiantes y científicos que trabajan en hábitats de pastizales en América Latina. Las becas de investigación de un año están abiertas a investigadores latinoamericanos afiliados a una universidad, museo u organización de conservación. Además, el NGC ofrece subvenciones para equipos para la ciencia de la conservación y pequeñas subvenciones para estudiantes de posgrado latinoamericanos que realizan proyectos de campo.;;;;;;;;;;;;;USD;;500;5.000;;four-monthly;1-abr-22;1-ago-22;1-dic-22;;1-abr-25;;;;FALSE;;;;;;;;;;;;;;;
8;15/4/2024;TRUE;TRUE;;;Vencido;-493;PADI Fundation Grants;Research and publications;Agricultural and Biological Sciences;Marine Biology;Marine Ecology;SCUBA diving;;;;http://www.padifoundation.org/guides-deadlines.html;La FUNDACIÓN PADI fomenta y apoya la investigación y la educación relacionadas con los medios acuáticos. La Fundación financiará y ayudará a proyectos que propendan a:;;;USA;PADI Foundation;worldwide;none;Conservación de ambientes acuáticos marinos y lacustres, Buceo, Riesgo asociado a actividad humana y cambio global;Individuals;;;;sin datos;USD;;;12.000;5000 - 10000;yearly;10-ene-20;;;;10-ene-23;10-may-20;;Apoyar la conservación y mejorar la comprensión sobre los océanos y sus ecosistemas;FALSE;;;OABS4581441;;;;;;;;;;;;
9;13/12/2020;TRUE;TRUE;;;Vencido;-472;Kushlan Research Award;Research and publications;Agricultural and Biological Sciences;Animal Science and Zoology;Avian Biology;Water Birds;Ciconiiform;;;https://waterbirds.org/research-grants/kushlan-research-award/;The goal of the Kushlan Research Award in Ciconiiform Biology and Conservation is to encourage significant scientific advances in the biology, ecology, or conservation biology of wading birds (i.e. herons, storks, ibises, and their taxonomic allies). The grants committee currently solicits proposals that focus on Species relationships within the group or the status, range, and population sizes of little-known species of Ciconiiformes. These grants are open globally to any student, professional, or amateur.;Financial and education status of applicants are not considerations. Selection is made by a committee based on the applicant’s likelihood of publishing timely and substantial contributions to the literature. Depending on the scientific merit of the competition, awards will be offered in most years – one or more awards from $1,000 to $7,000 will be made.;;;Waterbird Society;;;;Graduate Students;;;Mid-Career and Experienced Researchers;;;Up to 7,000 USD;;;;yearly;31-ene-20;;;;31-ene-23;;;;FALSE;https://www.mendeley.com/research-funding/Waterbird_Society;;OABS4883459;;;;;;;;;;;;
10;5/4/2024;TRUE;TRUE;publicar;publicar;Abierto;Abierto;Equipment and Supplies for Biodiversity Conservation-IDEA Wild;Equipment/Supplies or Facilities;Agricultural and Biological Sciences;Biodiversity and Wildlife Conservation;Biology, Ecology, and Behavior;Equipment and supplies;Field work;;;https://ideawild.org/apply.html;Idea Wild is a nonprofit organization to provide equipment and supplies in support of biodiversity conservation in developing countries. Grants are to individuals of any nationality engaged in biodiversity conservation, education, or research in the developing countries. The total cost of your equipment must be below US$1,500. The application should include a detailed description of the requested equipment, as well as contact information for the company that sells each item of the equipment. Idea Wild provides internet links to suppliers of the most frequently requested equipment items in order to help applicants choose and identify the items.;;;USA;Idea Wild;;;;;;;;;;;;;;year-round;Ongoing;;;;Ongoing;;;;FALSE;https://www.terravivagrants.info/grantdetail.php?id=85390;biodiversity, conservation, wildlife, research, education, training, worldwide;OABS2895561;;;;;1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k;https://docs.google.com/document/d/1VKXCfn9ZmaV7ZDJDoY1KNhUp35jbl6lTN7WkgMb1E_k/edit?usp=drivesdk;BolOABSv5_SmallGrantsbyAreaEDITAR;"Data merged and appended successfully; Manually run by marianarecavarren@gmail.com; Timestamp: Apr 5 2024 7:03 PM";;;;
